TC ID,Day,Module,Priority,Test Scenario,Pre-condition,Test Steps,Expected Result,Status,Actual Result,Tester,Remarks
TC-FM-06,3,Transfer Form,High,Create & Sign Asset Transfer Form,Asset transfer has been approved,"1. Go to Forms → Transfer Form;2. Select completed transfer;3. Generate transfer form;4. Sender signs;5. Receiver signs;6. Admin/IT Head signs",Transfer form with all three signatures. PDF available.,,,,,,
TC-FM-07,3,Checklist Form,High,Create & Sign Asset Checklist Form,"Asset exists with checklist items defined","1. Go to Forms → Checklist Form;2. Select asset;3. Fill checklist items;4. Employee signs;5. Dept Head signs;6. IT Manager signs (if applicable)",Checklist form completed with multi-party signatures. PDF generated.,,,,,,
TC-FM-08,3,Borrow Form,High,Create & Sign Borrow Form,Borrow request has been approved,"1. Go to Forms → Borrow Form;2. Select completed borrow;3. Generate form;4. Borrower signs;5. Admin/approver signs",Borrow form created with signatures. PDF downloadable.,,,,,,
TC-FM-09,3,Approvals,Medium,Centralized Approvals Dashboard,Multiple pending approvals exist,"1. Go to Approvals page;2. View all pending approvals grouped by type;3. Approve one reject another;4. Verify approval counts update",All pending approvals listed in one place. Approve/reject actions work. Counts refresh.,,,,,,
TC-AD-01,4,User Management,High,Create a New User,Logged in as Global Admin or Admin,"1. Go to Users page;2. Click Add User;3. Fill required fields: name email role company;4. Set initial password;5. Click Save",User created. Invitation/credentials sent. User appears in user list.,,,,,,
TC-AD-02,4,RBAC,High,Assign Role & Verify Permissions,User exists with no special permissions,"1. Edit a user;2. Assign a role (e.g. IT Asset User);3. Save;4. Log in as that user;5. Verify only permitted modules are accessible",Users access matches the roles permission set. Restricted pages show access denied.,,,,,,
TC-AD-03,4,RBAC,Medium,Override User Permissions,User has a base role,"1. Edit user permissions;2. Grant a specific permission not in their role;3. Save;4. Log in as the user;5. Verify the additional permission is active",Permission override works. User has both role-based and additional permissions.,,,,,,
TC-AD-04,4,User Management,Medium,Remove User Lockout,User is locked out due to failed login attempts,"1. Go to Users page;2. Find locked-out user;3. Click Remove Lockout;4. User tries logging in again",Lockout removed. User can log in successfully.,,,,,,
TC-AD-05,4,Settings,High,Change Asset ID Format Settings,Logged in as Admin,"1. Go to Settings → Asset ID Format;2. Change prefix (e.g. from AST- to CMP-);3. Save;4. Create a new asset",New asset uses updated ID format. Existing assets retain their old IDs.,,,,,,
TC-AD-06,4,Settings,Medium,Toggle MFA Globally,Logged in as Admin,"1. Go to Settings → MFA;2. Enable Require MFA for all users;3. Save;4. Log in as a different user",User is prompted to set up MFA (TOTP) on next login.,,,,,,
TC-AD-07,4,Settings,Medium,Configure Security Settings,Logged in as Admin,"1. Go to Settings → Security;2. Modify password policy;3. Set session timeout;4. Configure account lockout threshold;5. Save",Settings saved. Password policy enforced. Session times out after configured period.,,,,,,
TC-AD-08,4,Dashboard,High,View Dashboard with Charts,Sufficient asset data exists,"1. Go to Dashboard;2. Verify all chart widgets load;3. Hover over chart elements for tooltips;4. Check distribution charts",Dashboard loads with all charts. Data matches actual asset records.,,,,,,
TC-AD-09,4,Reports,Medium,Generate Maintenance/Repair Report,Assets with maintenance/repair history exist,"1. Go to Reports;2. Select Maintenance History report;3. Set date range and asset filter;4. Generate report;5. Export to PDF/Excel",Report displays with correct data. Export downloads successfully.,,,,,,
TC-AD-10,4,Reports,Medium,Generate Finance Report,Assets with depreciation values exist,"1. Go to Reports;2. Select Finance Report;3. Select depreciation period or date range;4. Generate report",Financial data calculated and displayed correctly.,,,,,,
TC-AD-11,4,Audit,Medium,View Audit Trail,Asset activity has occurred,"1. Go to Audit Trail;2. Browse all audit entries;3. Filter by action type user date;4. Click on an entry for details",All actions logged with timestamps and user info.,,,,,,
TC-AD-12,4,Audit,Medium,Verify Audit Hash Chain,Audit entries exist with hash chain,"1. Open Audit Trail;2. Click Verify Integrity;3. Verify hash chain validation",Hash chain validation passes. Tamper detection confirms data integrity.,,,,,,
TC-AD-13,4,Intangible Assets,Medium,Intangible Asset CRUD,Logged in as Asset Administrator,"1. Navigate to Intangible Assets section;2. Create a software license asset;3. Fill license key expiry date seats;4. Edit the asset;5. Delete the asset",Intangible asset created editable and deletable. Separate from physical assets.,,,,,,
TC-AD-14,4,Asset Builder,Medium,Asset Builder (Composite Assets),Multiple component assets exist,"1. Go to Asset Builder;2. Create a new composite asset;3. Add component assets (child assets);4. Save;5. View composite asset details",Composite asset created with linked component assets. Components listed in detail view.,,,,,,
TC-BQ-01,5,Asset Tagging,High,Generate QR Code Tag,Assets exist in the system,"1. Go to Asset Tagging page;2. Select one or more assets;3. Ensure QR toggle is selected;4. Generate tag preview;5. Print / download PDF",Tag preview shows company name logo and QR code. PDF prints with QR code at high resolution.,,,,,,
TC-BQ-02,5,Asset Tagging,High,Scan QR Code with Phone,Printed QR tag exists,"1. Open phone camera or QR scanner app;2. Scan the printed QR code",Phone opens the public asset detail page /assets/details/<code> showing asset info.,,,,,,
TC-BQ-03,5,Asset Tagging,High,Generate Barcode Tag (CODE128),Assets exist,"1. Go to Asset Tagging page;2. Select assets;3. Toggle to Barcode mode;4. Select format: CODE128;5. Generate tag preview;6. Print / download PDF",Tag preview shows company name and CODE128 barcode. Barcode encodes the asset code.,,,,,,
TC-BQ-04,5,Asset Tagging,Medium,Generate Barcode Tag (CODE39),Assets exist,"1. Go to Asset Tagging page;2. Select assets;3. Toggle to Barcode mode;4. Select format: CODE39;5. Generate tag preview",Tag preview shows CODE39 barcode encoding the asset code. Different visual width vs CODE128.,,,,,,
TC-BQ-05,5,Asset Tagging,High,Scan Barcode with Physical Scanner,"Printed barcode tag exists. USB barcode scanner connected.","1. Have the Asset List page open and focused;2. Scan the printed barcode with the physical scanner;3. Observe system response",AssetViewModal opens automatically showing the correct asset. Asset code matches.,,,,,,
TC-BQ-06,5,Scanner Integration,Medium,Scan Barcode on My Assets Page,"Barcode scanner connected. Logged in as user with assigned assets.","1. Go to My Assets page;2. Scan a barcode of an assigned asset",AssetViewModal opens with correct asset.,,,,,,
TC-BQ-07,5,Scanner Integration,Medium,Scan Barcode on Tagging Page,"Barcode scanner connected. On Asset Tagging page.","1. Go to Asset Tagging page;2. Scan a barcode",AssetViewModal opens with correct asset or asset is selected for tagging.,,,,,,
TC-GP-01,5,Gate Pass,High,Generate Gate Pass for Single Asset,"Asset exists and is eligible for movement (not disposed not under repair)","1. Go to Gate Pass page;2. Click New Gate Pass;3. Select a single asset;4. Fill purpose of movement destination expected return date;5. Add remarks / notes;6. Generate gate pass",Gate pass generated with unique reference number. Shows asset details QR/barcode movement info and date.,,,,,,
TC-GP-02,5,Gate Pass,Medium,Generate Gate Pass for Multiple Assets,"Multiple assets exist and are eligible for movement","1. Go to Gate Pass page;2. Click New Gate Pass;3. Select multiple assets;4. Fill purpose destination expected return date;5. Generate gate pass",Single gate pass covers all selected assets. All asset details listed in the document.,,,,,,
TC-GP-03,5,Gate Pass,Medium,View and Print Gate Pass Document,Gate pass has been generated,"1. Go to Gate Pass list;2. Locate the generated gate pass;3. Click View to see full details;4. Click Print / Download",Gate pass document opens with complete details. Print/PDF output includes asset list QR/barcode signatures and movement information.,,,,,,
TC-MT-01,2,Maintenance,High,Schedule Asset Maintenance,"Asset exists and is assigned or available","1. Go to Asset Maintenance page;2. Click Add Maintenance;3. Select asset;4. Set maintenance type (preventive / corrective);5. Set scheduled date assign technician/vendor;6. Add notes and estimated cost;7. Click Save",Maintenance record created with Scheduled status. Asset shows as under maintenance.,,,,,,
TC-MT-02,2,Maintenance,High,Complete Maintenance & Update Record,"Maintenance record exists with Scheduled or In Progress status","1. Open the pending maintenance record;2. Mark as In Progress;3. Add completion notes parts used final cost;4. Upload completion documents (if any);5. Mark as Completed",Maintenance record marked completed. Asset status restored to previous state.,,,,,,
TC-MT-03,2,Maintenance,Medium,View Maintenance History,Asset has past maintenance records,"1. Open an assets detail view;2. Scroll to Maintenance History section;3. Review past maintenance entries",Complete history of all maintenance activities shown with dates type technician and cost.,,,,,,

